ID;NOMBRE;Activado;Productos;Recencia;Frecuencia;PrecioProm;Monto;MERCADO;REGION;PAIS;TIPOCOMPRA;LIMITECREDITO;DIASLIMITECR;EDAD;GRUPOCLIENTE;TIPONEGOCIO
1294229;ZFANIA BARZILAY LTD LA CASA DEL CIGAR;Activo;4;0;2;26;104;MERCADO INTERNACIONAL;EUROPA;ISRAEL;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294230;AJ S.A CALIDAD ANTE TODO;Activo;4;0;3;24;96;MERCADO INTERNACIONAL;SURAMÉRICA Y PANAMÁ;PARAGUAY;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294231;K & K EXPORT-IMPORT;Inactivo;3;0.884;4;28;84;MERCADO INTERNACIONAL;EUROPA;ESLOVAQUIA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294232;MANDIRI GLOBAL PTE LTD;Activo;3;0.517;6;33;99;MERCADO INTERNACIONAL;ASIA PACIFIC;MONGOLIA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294233;BONUM BEVERAGES;Activo;3;0.251;4;26;78;SIN MERCADO;SIN REGIÓN;CANADA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294234;THE NECTAR;Activo;3;0;4;29;87;SIN MERCADO;SIN REGIÓN;CANADA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294235;MACK & SCHUHLE AG;Activo;3;0;3;26;78;SIN MERCADO;SIN REGIÓN;CANADA;Credito;120000;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294236;FINESTORE DISTRIBUTION;Activo;3;0;3;28;84;MERCADO INTERNACIONAL;EUROPA;RUMANIA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294237;WEBBBANKS, LLC;Activo;3;0.073;3;27;81;MERCADO INTERNACIONAL;DUTY FREE;DUTY FREE USA;Credito;150000;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
1294238;TRIDENS AS;Activo;3;0.203;3;29;87;SIN MERCADO;SIN REGIÓN;CANADA;Contado;0;0;0;CLIENTES MARCA INTERNACIONAL;CLIENTES EXTERIOR
